"type","period","site","username","password","first name","last name"
"t","First Period,Second Period","test","teacher1",123456,"Teacher","One"
"s","First Period","test","student1",123456,"Student","One"
"s","First Period","test","student2",123456,"Student","Two"
"s","First Period","test","student3",123456,"Student","Three"
"s","First Period","test","student4",123456,"Student","Four"
"s","First Period","test","student5",123456,"Student","Five"
"s","Second Period","test","student6",123456,"Student","Six"
"s","Second Period","test","student7",123456,"Student","Seven"
"s","Second Period","test","student8",123456,"Student","Eight"
"s","Second Period","test","student9",123456,"Student","Nine"
